WORD,DEFINITION
ACOHA,American College of Osteopathic Hospital Administrators
ACO-HNS,American Council of Otolaryngology-Head and Neck Surgery
ACOI,American College of Osteopathic Internists
ACOM,American College of Occupational Medicine; anterior communicating [artery]
AComA,anterior communicating artery
ACOMS,American College of Oral and Maxillofacial Surgeons
ACOOG,American College of Osteopathic Obstetricians and Gynecologists
ACOP,American College of Osteopathic Pediatricians; approved code of practice
ACORDE,A Corsortium on Restorative Dentistry Education
ACOS,American College of Osteopathic Surgeons; associate chief of staff
ACOS/AC,associate chief of staff for ambulatory care
Acous,"acoustics, acoustic"
ACP,accessory conduction pathway; acid phosphatase; acyl carrier protein; American College of Pathologists; American College of Pharmacists; American College of Physicians; American College of Prosthodontists; American College of Psychiatrists; Animal Care Panel; anodal closure picture; aspirin-caffeine-phenacetin; Association for Child Psychiatrists; Association of Clinical Pathologists; Association of Correctional Psychologists
ACPA,American Cleft Palate Association
ACPC,aminocyclopentane carboxylic [acid]
ACPE,American College of Physician Executives
"AC-PH,",ac phos acid phosphatase
ACPM,American College of Preventive Medicine
ACPP,adrenocortical polypeptide; prostate-specific acid phosphatase
ACPS,acrocephalopolysyndactyly
ACR,abnormally contracting region; absolute catabolic rate; acriflavine; adenomatosis of colon and rectum; adjusted community rate; ambulance call report; American College of Radiology; American College of Rheumatology; anticonstipation regimen; axillary count rate
Acr,acrylic
ACRF,ambulatory care research facility
ACRM,American Congress of Rehabilitation Medicine
ACS,acrocallosal syndrome; acrocephalosyndactyly; acute chest syndrome; acute confusional state; Alcon Closure System; American Cancer Society; American Chemical Society; American College of Surgeons; anodal closure sound; antireticular cytotoxic serum; aperture current setting; Association of Clinical Scientists
ACSA,adenylate cyclase-stimulating activity
ACS,AO ascending aorta
ACSE,association control service element
ACSF,artificial cerebrospinal fluid
ACSM,American College of Sports Medicine
ACSP,adenylate cyclase-stimulating protein
AC/SIUG,ambulatory care special-interest user group
ACSV,aortocoronary saphenous vein
ACSVBG,aortocoronary saphenous vein bypass graft
ACT,achievement through counseling and treatment; actin; actinomycin; activated clotting time; advanced coronary treatment; anterocolic transposition; antichymotrypsin; anticoagulant therapy; anxiety control training; asthma care training; atropine coma therapy
AcT,acceleration time
act,"actinomycin; activity, active"
ACTA,American Cardiology Technologists Association; automatic computerized transverse axial [scanning]
Act-C,actinomycin C
Act-D,actinomycin D
ACTe,anodal closure tetanus
ACTG,AIDS Clinical Trial Group
ACTH,adrenocorticotropic hormone
ACTH-LI,adrenocorticotropin-like immunoreactivity
ACTHR,adrenocorticotropic hormone receptor
ACTH-RF,adrenocorticotropic hormone releasing factor
activ,"active, activity"
ACTN,adrenocorticotropin
ACTP,adrenocorticotropic polypeptide
ACT/PD,actual nursing hours per patient/day
ACTS,acute cervical traumatic sprain or syndrome; advanced communication technology satellite; American College Testing Services; Auditory Comprehension Test for Sentences
ACU,acquired cold urticaria; acute care unit; agar colony-forming unit; ambulatory care unit
ACURP,American College of Utilization Review Physicians
ACV,acute cardiovascular [disease]; acyclovir; assisted controlled ventilation; atrial/carotid/ventricular
ACVB,aortocoronary venous bypass
ACVD,"acute cardiovascular disease, atherosclerotic cardiovascular disease"
ACx,anomalous circumflex [coronary artery]
AD,"accident dispensary; acetate dialysis; active disease; acute dermatomyositis; addict, addiction; adenoid degeneration [agent]; adjuvant disease; admitting diagnosis; adrenostenedione; adult disease; advanced directive; aerosol deposition; affective disorder; after discharge; alcohol dehydrogenase; Aleutian disease; alveolar diffusion; alveolar duct; Alzheimer dementia; Alzheimer disease; analgesic dose; anodal duration; anterior division; antigenic determinant; appropriate disability; arthritic dose; associate degree; atopic dermatitis; attentional disturbance; Aujeszky disease; autonomic dysreflexia; autosomal dominant; average deviation; axiodistal; axis deviation; right ear [Lat. auris dextra]"
A/D,analog-to-digital [converter]
A&D,admission and discharge; ascending and descending
Ad,adenovirus; adrenal; anisotropic disk
ad,add [Lat. adde] let there be added [up to a specified amount] [Lat. addetur]; axiodistal; right ear [Lat. auris dextra]
ADA,adenosine deaminase; American Dental Association; American Dermatological Association; American Diabetes Association; American Dietetic Association; Americans with Disabilities Act; anterior descending artery; antideoxyribonucleic acid antibody; approved dietary allowance
ADAA,American Dental Assistants Association
ADAM,"amniotic deformity, adhesion, mutilation [syndrome]"
ADAMHA,"Alcohol, Drug Abuse, and Mental Health Administration"
ADAP,American Dental Assistant\u0027s Program; Assistant Director of Army Psychiatry
ADAPT,American Disabled for Attendant Programs Today [organization]
ADAS,Alzheimer disease assessment scale
ADAS-COG,cognitive portion of the Alzheimer\u0027s Disease Assessment Scale
ADase,adenosine deaminase
ADAU,adolescent drug abuse unit
ADB,accidental death benefit
ADC,"adult day care [facility]; affective disorders clinic; Aid to [Families with] Dependent Children; AIDS-dementia complex; albumin, dextrose, and catalase [medium]; ambulance design criteria; analog-to-digital converter; anodal duration contraction; apparent diffusion coefficient; average daily census; axiodistocervical"
AdC,adenylate cyclase; adrenal cortex
ADCC,acute disorder of cerebral circulation; antibody-dependent cell-mediated cytotoxicity
ADCP,adenosine deaminase complexing protein
ADCS,Argonz del Castillo syndrome
ADCY,adenyl cyclase
ADD,acceptable daily dose; adduction; adenosine deaminase; attentional deficit disorder; average daily dose
add,"addition; adductor, adduction; let there be added [Lat. addatur]"
ADDH,attention deficit disorder with hyperactivity
ADD/HA,attention deficit disorder/hyperactivity
addict,"addiction, addictive"
add,poll adductor pollicis
ADDS,American Digestive Disease Society
ADDU,alcohol and drug dependence unit
ADE,acute disseminated encephalitis; adverse drug event; antibody-dependent enhancement; apparent digestible energy
Ade,adenine
AdeCbl,adenosyl cobalamine
ADEE,age-dependent epileptic encephalopathy
ADEM,academic department of emergency medicine; acute disseminated encephalomyelitis
AdenCa,adenocarcinoma
adeq,adequate
ADF,administrative determination of fault
ADFN,albinism-deafness [syndrome]; albinism-deafness syndrome
ADFR,"activate, depress, free, repeat [coherence therapy]"
ADFS,alternative delivery and financing system
ADG,ambulatory diagnostic group; atrial diastolic gallop; axiodistogingival
ADH,Academy of Dentistry for the Handicapped; adhesion; alcohol dehydrogenase; antidiuretic hormone; arginine dihydrolase
adh,"adhesion, adhesive; antidiuretic hormone"
ADHA,American Dental Hygienists Association
ADHD,attention deficit-hyperactivity disorder
ADI,Academy of Dentistry International; acceptable daily intake; AIDS-defining illness; allowable daily intake; artificial diverticulum of the ileum; atlas-dens interval; axiodistoincisal
adj,adjacent; adjoining; adjuvant
ADK,adenosine kinase
ADKC,atopic dermatitis with keratoconjunctivitis
ADL,activities of daily living; Amsterdam Depression List; annual dose limit
ADLAR,advanced design linear accelerator radiosurgery
ADLC,antibody-dependent lymphocyte-mediated cytotoxicity
ad lib,as desired [Lat. ad libitum]
ADM,"abductor digiti minimi; administrative medicine; admission; Adriamycin; Alcohol, Drug Abuse and Mental Health [grant of US Department of Health and Human Services]"
AdM,adrenal medulla
adm,administration; admission; apply [Lat. admove]
Adm Dr,admitting doctor
ADME,"[drug] absorption, distribution, metabolism, and excretion"
Admin,administration
Adm Ph,admitting physician
ADMR,average daily metabolic rate
ADMX,adrenal medullectomy
ADN,antideoxyribonuclease; aortic depressor nerve; associate degree in nursing
ad naus,to the point of producing nausea [Lat. ad nauseam]
ADN-B,antideoxyribonuclease B
ADO,adolescent medicine; axiodisto-occlusal
Ado,adenosine
ADOD,arthrodentosteodysplasia
AdoDABA,adenosyldiaminobutyric acid
AdoHcy,S-adenosylhomocysteine
adol,"adolescence, adolescent"
AdoMet,S-adenosylmethionine
Adox,oxidized adenosine
ADP,adenopathy; adenosine diphosphate; administrative psychiatry; approved drug product; area diastolic pressure; automatic data processing
AdP,adductor pollicis
ADPase,adenosine diphosphatase
ADPKD,autosomal dominant polycystic kidney disease
ADPL,average daily patient load
ADPR,adenosine diphosphate ribose
ADPRT,adenosine diphosphate ribosyltransferase
ADQ,abductor digite quinte
ADR,"activation, depression, repetition [in bone remodeling]; adrenodoxin reductase; Adriamycin; adverse drug reaction; airway dilation reflex; alternative dispute resolution; arrested development of righting response; ataxia-deafness-retardation [syndrome]"
Adr,adrenalin; Adriamycin
adr,"adrenal, adrenalectomy"
ADRA1C,alpha-1C-adrenergic receptor
ADRBK,beta-1-adrenergic receptor kinase
ADRBR,adrenergic beta-receptor
ADRDA,Alzheimer Disease and Related Disorders Association
ADRP,adipose differentiation-related protein
ADS,acute death syndrome; acute diarrheal syndrome; Alcohol Dependence Scale; alternative delivery system; anatomical dead space; anonymous donor\u0027s sperm; antibody deficiency syndrome; antidiuretic substance; Army Dental Service
ADSL,asymmetrical digital single line
ADSS,adenylsuccinate synthetase
ADT,"Accepted Dental Therapeutics; adenosine triphosphate; admission, discharge, transfer; agar-gel diffusion test; alternate day therapy; any, what you desire, thing (a placebo); Alzheimer-type dementia; asphyxiating thoracic dystrophy; Auditory Discrimination Test"
ADTA,American Dental Trade Association
ADTe,anodal duration tetanus
AD&U,acid dissociation and ultrafiltration
ADV,adenovirus; adventitia; Aleutian disease virus; Aujeszky disease virus
Adv,adenovirus
adv,advanced; against [Lat. adversum]
ADVIRC,autosomal dominant vitreo-retinochoroidopathy
ADW,assault with deadly weapon
A5D5W,"alcohol 5%, dextrose 5%, in water"
ADX,adrenalectomized; adrenodoxin
AE,above-elbow [amputation]; acrodermatitis enteropathica; activation energy; adult erythrocyte; adverse event; after-effect; agarose electrophoresis; air embolism; air entry; alcoholic embryopathy; anion exchange; anoxic encephalopathy; autiepileptic; antitoxic unit [Ger. Antitoxineinheit]; apoenzyme; aryepiglottic; atherosclerotic encephalopathy; atrial ectopic [heart beat]; avian encephalomyelitis
A+E,accident and emergency [department]; analysis and evaluation
A/E,above elbow [amputation]
AEA,"alcohol, ether, and acetone [solution]; apocrine membrane antigen"
AEB,acute erythroblastopenia; avian erythroblastosis
AEC,"ankyloblepharon, ectodermal defects, and cleft lip [syndrome]; at earliest convenience; Atomic Energy Commission"
AECD,allergic eczematous contact dermatitis
AED,antiepileptic drug; antihidrotic ectodermal dysplasia; automatic external defibrillator
AEDP,automated external defibrillator pacemaker
AEE,atomic energy establishment
AEF,allogenic effect factor; amyloid enhancing factor; aorto-enteric fistula
AEG,"air encephalography, air encephalogram; atrial electrogram"
AEGIS,Aid for the Elderly in Government Institutions
AEI,arbitrary evolution index; atrial emptying index
AEL,acute erythroleukemia
AEM,Academic Emergency Medicine [journal]; analytical electron microscopy; ambulatory electrocardiographic monitoring; ataxia episodica with myokymia; avian encephalomyelitis
AEMIS,Aerospace and Environmental Medicine Information System
AEMK,ataxia episodica with myokymia
A-EMT,advanced emergency medical technician
AEN,aseptic epiphyseal necrosis
AEP,acute edematous pancreatitis; artificial endocrine pancreas; auditory evoked potential; average evoked potential
AEq,age equivalent
AER,abduction/external rotation; acoustic evoked response; acute exertional rhabdomyolysis; agranular endoplasmic reticulum; albumin excretion rate; aldosterone excretion rate; apical ectodermal ridge; auditory evoked response; average electroencephalic response; average evoked response
AERE,Atomic Energy Research Establishment
Aero,Aerobacter
AERP,antegrade effective refractory period; atrial effective refractory period
AERPAP,antegrade effective refractory period accessory pathway
AES,acetone-extracted serum; American Electroencephalographic Society; American Encephalographic Society; American Endocrine Society; American Endodontic Society; American Epidemiological Society; American Equilibration Society; anterior esophageal sensor; anti-embolic stockings; antral ethmoidal sphenoidectomy; aortic ejection sound; Auger\u0027s electron spectroscopy; auto-erythrocyte sensitization
AEST,aeromedical evacuation support team
AET,absorption-equivalent thickness;S-(2-aminoethyl) isothiuronium
AEV,avian erythroblastosis virus
AEZ,"acrodermatitis enteropathica, zinc deficient"
AF,abnormal frequency; acid-fast; adult female; afebrile; aflatoxin; albumin-free; albumose-free; aldehyde fuchsin; amaurosis fugax; aminophylline; amniotic fluid; angiogenesis factor; anteflexion; anterior fontanelle; antibody-forming; anti-fog; aortic flow; Arthritis Foundation; artificial feeding; ascitic fluid; atrial fibrillation; atrial flutter; atrial fusion; attenuation factor; attributable fraction; audio frequency
